Apothesis build on Wed Mar 22 11:03:20 2023
-------------------------------------------------

End time 1000.000000 sec
Temperature 1000.000000 K
Pressure 101325.000000 P
Random init num 0
Lattice SimpleCubic 100 100 
 
Processes
CO + * -> CO* constant 0.2 
CO* + O* -> CO2* constant 1.e+15 
O2 + 2* -> 2O* constant 0.2 all 


********************************************************************
Time (s)	Growth rate (ML/s)	RMS (-)	Micro-roughness (-)	O2 + 2* -> 2O* (4 N)	O2 + 2* -> 2O* (3 N)	O2 + 2* -> 2O* (1 N)	O2 + 2* -> 2O* (0 N)	CO* + O* -> CO2*	O2 + 2* -> 2O* (2 N)	CO + * -> CO*	O2 + 2* -> 2O* (4 N) (class size)	O2 + 2* -> 2O* (3 N) (class size)	O2 + 2* -> 2O* (1 N) (class size)	O2 + 2* -> 2O* (0 N) (class size)	CO* + O* -> CO2* (class size)	O2 + 2* -> 2O* (2 N) (class size)	CO + * -> CO* (class size)	O* (coverage)	CO* (coverage)	
0	0.000000	10.000000	1.000000	0	0	0	0	0	0	0	10000	0	0	0	0	0	10000	0.000000	0.000000	
0.100118711772136	0.057931	10.006088	1.022800	577	110	0	0	58	8	167	5014	2781	65	55	0	644	8559	0.133200	0.010900	
0.20025171885933	0.130826	10.019825	1.073800	863	293	2	0	189	37	346	2680	3108	300	188	0	1366	7642	0.220100	0.015700	
0.300444342081172	0.127754	10.033230	1.121000	1029	483	15	0	317	99	504	1473	2599	649	326	0	1831	6878	0.293500	0.018700	
0.400492776474443	0.119942	10.045780	1.164800	1108	624	35	0	437	178	621	914	2092	930	470	0	1957	6363	0.345300	0.018400	
0.500569501389124	0.123905	10.058742	1.208400	1166	731	52	0	561	249	732	604	1616	1150	632	0	1992	5994	0.383500	0.017100	
0.600733663274153	0.113813	10.070636	1.246800	1201	805	75	0	675	320	853	396	1271	1369	765	0	1894	5695	0.412700	0.017800	
0.700937717055683	0.126741	10.083868	1.287000	1229	872	108	0	802	387	977	272	966	1522	895	0	1780	5435	0.439000	0.017500	
0.802323958273114	0.108496	10.095316	1.322800	1244	921	139	0	912	463	1088	176	729	1665	1036	0	1596	5202	0.462200	0.017600	
0.90279454308459	0.106499	10.106448	1.353000	1258	956	177	0	1019	527	1201	121	561	1759	1139	0	1421	5001	0.481700	0.018200	
1.00293685548405	0.082882	10.115068	1.378000	1268	997	206	0	1102	571	1297	70	438	1778	1249	0	1288	4823	0.498200	0.019500	
1.10388662668016	0.072313	10.122653	1.396200	1275	1019	240	0	1175	619	1391	43	347	1795	1298	0	1170	4653	0.513100	0.021600	
1.2043780959202	0.074633	10.130429	1.416000	1278	1040	274	0	1250	659	1489	33	279	1779	1388	0	1030	4509	0.525200	0.023900	
1.30449094032452	0.066924	10.137371	1.432400	1279	1064	293	0	1317	702	1570	26	227	1765	1437	0	933	4388	0.535900	0.025300	
1.40586298592213	0.069053	10.144629	1.449400	1280	1077	330	0	1387	729	1659	18	186	1746	1479	0	854	4283	0.544500	0.027200	
1.50643828797159	0.069600	10.151951	1.468200	1281	1088	366	0	1457	761	1744	14	151	1721	1551	0	741	4178	0.553500	0.028700	
1.60670282078325	0.075799	10.159818	1.485000	1281	1096	413	0	1533	787	1828	15	124	1678	1585	0	682	4084	0.562100	0.029500	
1.70807363098416	0.072013	10.167399	1.499800	1281	1105	443	0	1606	811	1914	9	107	1653	1626	0	623	4018	0.567400	0.030800	
1.80882560339262	0.061537	10.173839	1.513800	1282	1108	481	0	1668	829	1992	6	90	1610	1664	0	574	3944	0.573200	0.032400	
1.90900257865144	0.055901	10.179646	1.524400	1282	1114	509	0	1724	857	2066	6	76	1590	1668	0	518	3858	0.580000	0.034200	
2.01034614800151	0.051311	10.185077	1.535600	1282	1117	551	0	1776	870	2137	6	64	1540	1687	0	478	3775	0.586400	0.036100	
2.11064630225903	0.044865	10.189764	1.546000	1283	1120	585	0	1821	888	2194	4	56	1486	1729	0	421	3696	0.593100	0.037300	
2.21105573860622	0.053780	10.195386	1.557800	1283	1126	610	0	1875	903	2263	3	44	1446	1741	0	409	3643	0.596900	0.038800	
2.31234862292787	0.056272	10.201304	1.569000	1283	1129	632	0	1932	914	2347	3	39	1407	1752	0	400	3601	0.598400	0.041500	
2.41475581099302	0.048825	10.206478	1.576600	1283	1130	665	0	1982	929	2412	3	29	1355	1771	0	380	3538	0.603200	0.043000	
2.5153329092085	0.070593	10.213878	1.589800	1283	1131	702	0	2053	942	2503	4	27	1319	1767	0	370	3487	0.606300	0.045000	
2.61692587064281	0.057091	10.219956	1.603800	1283	1132	723	0	2111	958	2578	2	24	1286	1796	0	344	3452	0.608100	0.046700	
2.71730855974677	0.065748	10.226901	1.618600	1283	1133	749	0	2177	964	2652	1	28	1268	1822	0	325	3444	0.608100	0.047500	
2.81787255268203	0.057675	10.232961	1.629600	1283	1135	787	0	2235	975	2734	0	22	1196	1862	0	296	3376	0.612500	0.049900	
2.92055702946392	0.052588	10.238628	1.641200	1283	1138	816	0	2289	987	2805	0	20	1152	1896	0	257	3325	0.615900	0.051600	
3.02239146002509	0.056955	10.244662	1.650800	1283	1140	832	0	2347	1000	2886	0	17	1153	1895	0	233	3298	0.616300	0.053900	
